================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
|  573 |    8.35e+004   |
|  574 |    1.03e+005   |
|  575 |   -4.97e+004   |
|  576 |    1.69e+004   |
|  577 |    2.67e+004   |
|  578 |    2.67e+004   |
|  579 |   -2.04e+004   |
|  580 |   -2.04e+004   |
|  581 |   -6.75e+004   |
|  582 |   -6.75e+004   |
|  583 |    1.69e+004   |
|  584 |    1.69e+004   |
|  585 |   -2.18e+005   |
|  586 |    8.35e+004   |
|  587 |    1.03e+005   |
|  588 |   -4.97e+004   |
|  589 |    1.69e+004   |
|  590 |    2.67e+004   |
|  591 |    2.67e+004   |
|  592 |   -2.04e+004   |
|  593 |   -2.04e+004   |
|  594 |   -6.75e+004   |
|  595 |   -6.75e+004   |
|  596 |    1.69e+004   |
|  597 |    1.69e+004   |
|  598 |   -2.18e+005   |
|  599 |    8.35e+004   |
|  600 |    1.03e+005   |
|  601 |   -4.97e+004   |
|  602 |    1.69e+004   |
|  603 |    2.67e+004   |
|  604 |    2.67e+004   |
|  605 |   -2.04e+004   |
|  606 |   -2.04e+004   |
|  607 |   -6.75e+004   |
|  608 |   -6.75e+004   |
|  609 |    1.69e+004   |
|  610 |    1.69e+004   |
|  611 |   -2.18e+005   |
|  612 |    8.35e+004   |
|  613 |    1.03e+005   |
|  614 |   -4.97e+004   |
|  615 |    1.69e+004   |
|  616 |    2.67e+004   |
|  617 |    2.67e+004   |
|  618 |   -2.04e+004   |
|  619 |   -2.04e+004   |
|  620 |   -6.75e+004   |
|  621 |   -6.75e+004   |
|  622 |    1.69e+004   |
|  623 |    1.69e+004   |
|  624 |   -2.18e+005   |
|  625 |    8.35e+004   |
|  626 |    1.03e+005   |
|  627 |   -4.97e+004   |
|  628 |    1.69e+004   |
|  629 |    2.67e+004   |
|  630 |    2.67e+004   |
|  631 |   -2.04e+004   |
|  632 |   -2.04e+004   |
|  633 |   -6.75e+004   |
|  634 |   -6.75e+004   |
|  635 |    1.69e+004   |
|  636 |    1.69e+004   |
|  637 |   -2.18e+005   |
|  638 |    8.35e+004   |
|  639 |    1.03e+005   |
|  640 |   -4.96e+004   |
|  641 |    1.69e+004   |
|  642 |    2.67e+004   |
|  643 |    2.67e+004   |
|  644 |   -2.04e+004   |
|  645 |   -2.04e+004   |
|  646 |   -6.75e+004   |
|  647 |   -6.75e+004   |
|  648 |    1.69e+004   |
|  649 |    1.69e+004   |
|  650 |   -2.18e+005   |
|  651 |    8.33e+004   |
|  652 |    1.03e+005   |
|  653 |   -4.98e+004   |
|  654 |    1.71e+004   |
|  655 |    2.66e+004   |
|  656 |    2.66e+004   |
|  657 |   -2.04e+004   |
|  658 |   -2.04e+004   |
|  659 |   -6.75e+004   |
|  660 |   -6.75e+004   |
|  661 |    1.69e+004   |
|  662 |    1.69e+004   |
|  663 |   -2.18e+005   |
|  664 |    8.45e+004   |
|  665 |    1.03e+005   |
|  666 |   -4.84e+004   |
|  667 |    1.56e+004   |
|  668 |    2.69e+004   |
|  669 |    2.69e+004   |
|  670 |   -2.07e+004   |
|  671 |   -2.07e+004   |
|  672 |   -6.72e+004   |
|  673 |   -6.72e+004   |
|  674 |    1.68e+004   |
|  675 |    1.68e+004   |
|  676 |   -2.19e+005   |
|  677 |    7.69e+004   |
|  678 |    1.03e+005   |
|  679 |   -5.77e+004   |
|  680 |    2.84e+004   |
|  681 |    2.48e+004   |
|  682 |    2.48e+004   |
|  683 |   -1.81e+004   |
|  684 |   -1.81e+004   |
|  685 |   -6.91e+004   |
|  686 |   -6.91e+004   |
|  687 |    1.90e+004   |
|  688 |    1.90e+004   |
|  689 |   -2.10e+005   |
|  690 |    1.09e+005   |
|  691 |    1.10e+005   |
|  692 |   -9.90e+003   |
|  693 |   -9.18e+004   |
|  694 |    3.79e+004   |
|  695 |    3.79e+004   |
|  696 |   -4.10e+004   |
|  697 |   -4.10e+004   |
|  698 |   -5.86e+004   |
|  699 |   -5.86e+004   |
|  700 |   -2.11e+004   |
|  701 |   -2.11e+004   |
|  702 |   -1.69e+005   |
|  703 |    3.09e+004   |
|  704 |    9.90e+004   |
|  705 |   -5.64e+004   |
|  706 |    6.76e+004   |
|  707 |    3.29e+004   |
|  708 |    3.29e+004   |
|  709 |   -5.84e+004   |
