================== Desplazamiento Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de longitud: m 

Número de nodos: 289 

-------------------------------------------------------- 
                   Desplazamientos (m)                 
-------------------------------------------------------- 
| Nodo |       u_x     |       u_y     |       u_z     |
|  248 |    1.08e+000  |    1.92e-004  |   -6.10e-001  |
|  249 |    1.17e+000  |   -1.01e-004  |   -6.10e-001  |
|  250 |    1.07e+000  |    1.79e-004  |   -7.08e-001  |
|  251 |    1.17e+000  |   -8.81e-005  |   -7.08e-001  |
|  252 |    1.07e+000  |    1.67e-004  |   -8.07e-001  |
|  253 |    1.17e+000  |   -7.51e-005  |   -8.07e-001  |
|  254 |    1.07e+000  |    1.53e-004  |   -9.07e-001  |
|  255 |    1.17e+000  |   -6.34e-005  |   -9.07e-001  |
|  256 |    1.07e+000  |    1.44e-004  |   -1.01e+000  |
|  257 |    1.17e+000  |   -4.27e-005  |   -1.01e+000  |
|  258 |    1.07e+000  |    1.13e-004  |   -1.11e+000  |
|  259 |    1.17e+000  |   -8.60e-005  |   -1.11e+000  |
|  260 |    1.07e+000  |    7.23e-005  |   -1.21e+000  |
|  261 |    1.17e+000  |   -3.34e-005  |   -1.21e+000  |
|  262 |    1.07e+000  |   -2.50e-005  |   -1.32e+000  |
|  263 |    1.17e+000  |    5.18e-005  |   -1.32e+000  |
|  264 |    1.07e+000  |   -9.71e-005  |   -1.42e+000  |
|  265 |    1.17e+000  |    1.38e-004  |   -1.42e+000  |
|  266 |    1.07e+000  |   -1.52e-004  |   -1.52e+000  |
|  267 |    1.17e+000  |    1.88e-004  |   -1.52e+000  |
|  268 |    1.07e+000  |   -1.67e-004  |   -1.62e+000  |
|  269 |    1.17e+000  |    2.07e-004  |   -1.62e+000  |
|  270 |    1.07e+000  |   -1.63e-004  |   -1.72e+000  |
|  271 |    1.17e+000  |    1.92e-004  |   -1.72e+000  |
|  272 |    1.07e+000  |   -1.44e-004  |   -1.82e+000  |
|  273 |    1.17e+000  |    1.76e-004  |   -1.82e+000  |
|  274 |    1.07e+000  |   -1.28e-004  |   -1.91e+000  |
|  275 |    1.17e+000  |    1.59e-004  |   -1.91e+000  |
|  276 |    1.07e+000  |   -1.11e-004  |   -2.01e+000  |
|  277 |    1.17e+000  |    1.43e-004  |   -2.01e+000  |
|  278 |    1.08e+000  |   -9.48e-005  |   -2.10e+000  |
|  279 |    1.17e+000  |    1.26e-004  |   -2.10e+000  |
|  280 |    1.08e+000  |   -7.82e-005  |   -2.19e+000  |
